clean_text,likes,shares,comments,sentiment_score,contains_link,contains_hashtag,platform_encoded,device_encoded,verified_encoded,target
more east african homes now use filtration,130,7,38,0.18,0,1,2,3,1,0
tap water linked to reduced iq,74,94,14,-0.15,1,1,0,2,0,1
water kiosks now serve clean water in nairobi,116,116,70,0.97,1,1,0,2,1,0
boiling water damages your organs,156,109,28,-0.1,0,1,1,1,1,1
water kiosks now serve clean water in nairobi,146,19,2,0.09,1,1,2,2,1,0
sanitizer causes infertility experts say,171,123,82,-0.36,1,0,3,4,0,1
unknown,109,52,9,-0.19,0,1,3,0,0,1
ngos distribute water purification tablets,150,118,91,0.36,1,0,0,3,1,0
proper handwashing reduces cholera outbreaks,92,11,28,0.3,1,0,1,3,1,0
natural spring water prevents covid,186,16,78,-0.05,1,0,2,1,0,1
more east african homes now use filtration,207,63,34,0.26,1,0,0,1,1,0
solar disinfection of water proves effective,121,41,5,0.38,1,1,2,3,0,0
new who guidelines promote water boiling,65,93,11,0.2,0,1,1,1,1,0
soap brands contain microchips for surveillance,188,146,37,-0.0,1,0,1,3,0,1
chlorinated water is a government mind control tactic,195,10,76,0.48,1,1,0,3,1,1
unknown,227,97,92,0.47,0,1,1,3,1,0
water kiosks now serve clean water in nairobi,226,70,18,0.57,0,0,2,2,1,0
mobile apps now report safe borehole locations,129,107,66,0.81,1,0,2,0,0,0
studies show water quality impacts health,184,57,7,0.71,1,1,0,1,1,0
public toilets improve hygiene in kampala,32,33,7,0.34,0,0,1,1,0,0
experts debate the safety of boiling water,222,19,83,0.15,1,1,3,0,1,0
face masks cause water contamination when washed,244,49,46,0.71,0,1,1,1,1,1
natural spring water prevents covid,22,101,3,-0.15,0,1,0,2,0,1
ngos distribute water purification tablets,110,137,50,0.13,1,0,0,0,1,0
vaccines in water are used to track people,33,51,84,-0.45,1,0,3,1,0,1
rainwater harvesting gains popularity in uganda,20,14,66,0.06,0,0,0,1,1,0
tap water linked to reduced iq,282,83,44,0.47,0,0,0,2,1,1
water kiosks now serve clean water in nairobi,290,130,7,-0.06,0,1,3,0,0,0
public toilets improve hygiene in kampala,103,36,86,-0.27,1,0,3,3,1,0
sanitation drives are working in rural areas,210,125,15,1.07,0,1,2,3,0,0
proper handwashing reduces cholera outbreaks,30,39,76,0.8,0,1,0,3,1,0
local programs claim sanitation success,220,71,66,-0.04,0,1,3,2,1,1
more east african homes now use filtration,149,39,8,0.44,0,1,2,0,0,0
local programs claim sanitation success,110,55,59,0.5,1,1,0,1,1,0
clean water access has improved in rural kenya,37,103,77,0.59,1,1,3,0,0,0
more east african homes now use filtration,50,138,76,-0.54,1,1,0,3,0,0
boiled water increases blood acidity,155,109,70,-0.16,0,1,2,3,0,1
mobile apps now report safe borehole locations,265,135,14,0.09,1,1,1,4,0,0
water kiosks now serve clean water in nairobi,236,92,70,0.39,1,0,0,0,0,0
proper handwashing reduces cholera outbreaks,245,93,97,0.49,0,1,0,2,0,0
sanitation drives are working in rural areas,22,55,40,0.9,1,0,0,0,1,0
rainwater is safer than treated tap water,219,59,21,0.67,0,0,0,3,0,1
experts debate the safety of boiling water,238,137,23,0.36,0,0,3,0,1,0
rainwater is safer than treated tap water,109,38,43,0.02,0,0,1,0,0,1
experts debate the safety of boiling water,40,27,0,1.0,0,1,0,3,1,0
ngos distribute water purification tablets,25,48,9,-0.13,1,1,3,0,0,0
natural spring water prevents covid,146,124,79,0.07,1,1,1,2,1,1
studies show water quality impacts health,175,12,71,0.01,0,0,2,1,0,0
local programs claim sanitation success,109,35,55,0.79,0,1,2,0,0,0
unknown,118,100,88,0.05,1,0,2,0,1,1
local programs claim sanitation success,182,25,49,-0.04,0,1,2,1,1,0
experts debate the safety of boiling water,246,85,11,0.02,0,0,2,2,1,1
local programs claim sanitation success,171,3,88,0.77,0,1,1,0,1,0
soap brands contain microchips for surveillance,225,81,80,-0.05,1,1,0,2,0,1
unknown,273,126,59,0.47,1,1,2,1,1,1
east african communities adopt water filtration,272,87,25,-0.3,1,0,0,0,0,0
western ngos poison wells to reduce population,283,126,77,-0.09,1,0,0,0,1,1
solar disinfection of water proves effective,12,119,40,0.13,1,0,0,0,1,0
natural spring water prevents covid,37,21,35,-0.69,1,0,0,2,0,1
east african communities adopt water filtration,158,129,22,0.32,1,0,0,2,0,0
public toilets improve hygiene in kampala,37,30,42,-0.07,0,0,1,0,0,0
solar disinfection of water proves effective,74,118,5,0.34,1,1,0,3,1,0
rainwater harvesting gains popularity in uganda,30,10,68,0.57,0,1,1,2,0,0
studies show water quality impacts health,261,45,42,0.27,0,1,1,3,1,0
face masks cause water contamination when washed,244,95,24,0.11,1,1,0,1,0,1
boiled water increases blood acidity,236,9,17,1.09,0,0,1,2,0,1
natural spring water prevents covid,22,127,61,1.24,1,1,2,0,0,1
rainwater harvesting gains popularity in uganda,58,98,12,1.4,0,1,2,2,0,0
east african communities adopt water filtration,127,111,42,0.38,1,1,2,4,1,0
clean water access has improved in rural kenya,63,59,77,0.91,0,0,0,1,0,0
unknown,147,86,27,0.16,0,1,2,3,0,0
studies show water quality impacts health,62,144,17,0.37,1,1,3,1,0,0
local programs claim sanitation success,53,64,58,0.86,0,1,3,2,0,1
experts debate the safety of boiling water,62,56,59,-0.28,0,0,3,2,0,1
experts debate the safety of boiling water,83,105,62,0.11,0,1,2,0,0,0
experts debate the safety of boiling water,55,8,56,-0.76,1,1,1,3,0,0
rainwater harvesting gains popularity in uganda,22,21,91,0.64,1,0,3,2,0,0
experts debate the safety of boiling water,174,140,50,0.63,1,1,1,1,0,1
ngos distribute water purification tablets,111,88,55,0.48,0,0,1,3,0,0
drinking bottled water causes kidney failure,289,17,26,-1.03,1,0,0,2,1,1
mobile apps now report safe borehole locations,267,114,31,0.04,1,1,3,2,1,0
east african communities adopt water filtration,147,144,8,0.1,1,1,0,2,0,0
rainwater is safer than treated tap water,172,142,95,-0.52,0,0,0,2,1,1
vaccines in water are used to track people,120,105,83,1.08,0,1,0,0,0,1
boiled water increases blood acidity,111,14,91,0.24,0,0,2,2,1,1
sanitizer causes infertility experts say,26,62,96,-0.69,0,0,0,2,1,1
unicef supports safe water projects in ethiopia,277,12,67,-0.09,0,0,1,0,1,0
experts debate the safety of boiling water,191,80,45,-0.13,1,1,3,1,1,0
solar disinfection of water proves effective,33,31,97,-0.45,0,1,1,1,0,0
drinking bottled water causes kidney failure,38,136,66,0.48,0,1,3,3,1,1
western ngos poison wells to reduce population,180,39,25,0.86,0,1,2,2,1,1
solar disinfection of water proves effective,237,147,7,0.07,1,0,3,2,1,0
boiled water increases blood acidity,197,81,5,0.44,1,0,3,1,0,1
chlorinated water is a government mind control tactic,239,76,79,-0.12,1,0,3,2,0,1
east african communities adopt water filtration,128,75,23,0.26,0,0,3,2,1,0
experts debate the safety of boiling water,165,37,47,0.51,0,0,1,0,1,1
western ngos poison wells to reduce population,281,70,93,1.19,0,0,3,2,0,1
east african communities adopt water filtration,184,47,44,1.06,0,0,0,0,0,0
safe sanitation is key to public health,113,17,12,0.11,0,1,3,2,0,0
local programs claim sanitation success,101,143,68,-0.05,1,1,0,2,0,0
public toilets improve hygiene in kampala,195,38,24,0.04,1,1,2,3,1,0
proper handwashing reduces cholera outbreaks,292,88,19,0.96,0,0,0,1,1,0
solar disinfection of water proves effective,190,61,81,-0.02,1,0,1,0,1,0
experts debate the safety of boiling water,179,140,81,-0.76,1,1,0,0,1,1
proper handwashing reduces cholera outbreaks,196,108,65,0.03,0,1,1,0,0,0
proper handwashing reduces cholera outbreaks,184,80,73,0.21,1,1,0,1,1,0
mobile apps now report safe borehole locations,231,133,44,-0.32,1,0,3,0,1,0
studies show water quality impacts health,242,76,46,0.83,1,0,2,0,0,0
using soap daily can cause skin cancer,171,89,62,0.9,1,1,1,0,1,1
clean water access has improved in rural kenya,143,13,75,0.32,0,1,1,0,1,0
sanitation drives are working in rural areas,233,94,76,-0.31,1,1,3,4,1,0
proper handwashing reduces cholera outbreaks,162,53,54,0.53,0,0,3,0,1,0
chlorinated water is a government mind control tactic,42,131,74,1.24,0,0,0,0,0,1
vaccines in water are used to track people,64,38,18,0.11,0,0,1,3,0,1
public toilets improve hygiene in kampala,16,71,34,-0.14,1,0,0,3,0,0
public toilets improve hygiene in kampala,253,24,52,0.16,1,1,3,3,0,0
sanitation drives are working in rural areas,135,76,25,0.53,1,0,1,4,1,0
sanitation drives are working in rural areas,21,119,13,0.81,1,1,2,2,1,0
mobile apps now report safe borehole locations,25,52,44,0.58,1,1,2,2,1,0
public toilets improve hygiene in kampala,217,130,43,0.44,0,1,1,3,0,0
experts debate the safety of boiling water,52,149,87,0.27,0,1,1,1,0,0
rainwater harvesting gains popularity in uganda,144,95,64,0.56,1,0,3,2,0,0
studies show water quality impacts health,237,71,50,-0.29,0,0,1,1,0,1
unicef supports safe water projects in ethiopia,120,61,42,0.43,1,0,1,2,0,0
proper handwashing reduces cholera outbreaks,169,5,85,0.82,1,1,2,2,1,0
solar disinfection of water proves effective,273,31,22,0.57,0,0,3,3,0,0
rainwater harvesting gains popularity in uganda,234,98,55,0.84,0,0,0,2,0,0
drinking bottled water causes kidney failure,226,137,18,-0.1,0,1,1,3,0,1
sanitation drives are working in rural areas,54,130,81,0.15,1,1,3,1,0,0
sanitation drives are working in rural areas,223,75,75,0.15,1,0,3,0,0,0
government hides real dangers of hand sanitizers,68,58,54,0.27,1,0,2,1,1,1
sanitation drives are working in rural areas,141,30,91,0.53,0,1,1,1,1,0
experts debate the safety of boiling water,113,92,91,0.33,1,1,1,1,1,0
local programs claim sanitation success,204,68,59,0.77,0,1,3,2,1,1
experts debate the safety of boiling water,166,51,58,0.93,1,1,1,3,0,0
unicef supports safe water projects in ethiopia,107,88,32,0.18,0,1,2,1,0,0
chlorinated water is a government mind control tactic,235,126,18,0.06,1,0,2,0,0,1
east african communities adopt water filtration,214,30,27,0.36,1,1,2,2,1,0
unknown,88,83,51,0.15,1,0,1,1,1,0
public toilets improve hygiene in kampala,133,126,48,0.1,1,0,1,4,1,0
soap brands contain microchips for surveillance,227,149,36,0.12,0,0,2,2,1,1
studies show water quality impacts health,13,131,25,0.85,1,0,0,3,1,0
unknown,99,12,98,0.91,0,0,3,1,1,0
studies show water quality impacts health,113,44,97,0.27,1,1,0,0,1,0
unknown,128,126,98,0.44,1,1,1,3,1,0
ngos distribute water purification tablets,142,113,39,0.08,1,1,3,3,0,0
unknown,105,19,79,0.37,0,1,3,2,1,0
unicef supports safe water projects in ethiopia,152,80,37,0.52,0,0,1,1,1,0
new who guidelines promote water boiling,297,128,76,-0.23,1,1,0,1,0,0
clean water access has improved in rural kenya,37,142,86,0.31,0,1,0,2,1,0
rainwater harvesting gains popularity in uganda,287,16,53,0.87,0,1,0,0,1,0
more east african homes now use filtration,242,57,21,-0.11,0,0,0,0,0,0
public toilets improve hygiene in kampala,26,71,15,0.53,0,1,2,0,0,0
natural spring water prevents covid,68,108,27,0.15,1,0,3,3,0,1
solar disinfection of water proves effective,99,22,34,0.16,0,1,0,1,1,0
rainwater harvesting gains popularity in uganda,208,71,59,0.7,1,1,1,1,0,0
rainwater harvesting gains popularity in uganda,35,7,44,0.96,1,0,2,0,1,0
local programs claim sanitation success,34,58,45,-0.33,0,1,3,0,0,1
experts debate the safety of boiling water,276,110,71,-0.07,1,1,1,0,0,1
solar disinfection of water proves effective,190,12,54,-0.06,0,1,2,3,0,0
sanitation drives are working in rural areas,77,15,85,0.59,1,1,3,4,1,0
studies show water quality impacts health,58,118,84,0.45,1,0,1,1,1,1
local programs claim sanitation success,184,1,25,0.79,1,1,3,2,0,0
unicef supports safe water projects in ethiopia,61,144,84,0.76,0,1,2,1,1,0
mobile apps now report safe borehole locations,111,29,24,-0.15,0,1,0,3,1,0
clean water access has improved in rural kenya,225,102,64,0.61,0,0,2,0,0,0
experts debate the safety of boiling water,197,12,5,-0.31,0,1,1,0,1,1
soap brands contain microchips for surveillance,66,95,22,-0.13,1,1,0,3,1,1
local programs claim sanitation success,56,93,63,0.25,1,0,3,3,1,0
safe sanitation is key to public health,168,81,86,-0.09,0,1,3,0,0,0
experts debate the safety of boiling water,183,12,42,0.44,1,1,3,3,0,1
drinking bottled water causes kidney failure,251,93,22,-0.15,0,1,2,3,0,1
unknown,291,148,95,-0.34,0,0,3,3,1,0
tap water linked to reduced iq,250,111,29,0.53,0,1,3,1,0,1
natural spring water prevents covid,14,54,76,-0.88,0,1,3,0,1,1
vaccines in water are used to track people,93,80,17,0.25,1,0,2,0,1,1
rainwater harvesting gains popularity in uganda,257,115,86,0.1,1,1,1,2,1,0
solar disinfection of water proves effective,63,142,78,0.46,0,0,0,3,0,0
boiled water increases blood acidity,170,107,96,0.29,0,0,3,0,1,1
east african communities adopt water filtration,235,52,20,0.94,0,0,2,0,1,0
local programs claim sanitation success,24,127,56,-0.08,1,0,3,0,0,1
public toilets improve hygiene in kampala,233,56,22,0.94,1,1,0,1,0,0
unicef supports safe water projects in ethiopia,70,51,90,-0.1,1,1,1,1,0,0
local programs claim sanitation success,131,136,44,0.79,1,1,1,1,0,0
solar disinfection of water proves effective,286,110,43,0.36,1,0,3,3,1,0
drinking bottled water causes kidney failure,55,0,81,0.65,1,1,0,2,0,1
unknown,71,43,87,0.7,1,0,3,3,1,1
face masks cause water contamination when washed,95,74,46,0.01,1,1,1,3,0,1
public toilets improve hygiene in kampala,219,97,39,0.46,0,1,2,1,1,0
solar disinfection of water proves effective,87,8,50,-0.29,0,1,2,0,0,0
solar disinfection of water proves effective,211,31,41,-0.37,1,1,2,3,1,0
ngos distribute water purification tablets,232,14,6,0.45,1,0,0,2,0,0
local programs claim sanitation success,231,139,49,0.35,0,0,0,2,1,0
east african communities adopt water filtration,12,135,47,0.49,1,0,1,1,1,0
east african communities adopt water filtration,15,71,83,0.69,1,0,0,4,0,0
mobile apps now report safe borehole locations,102,11,90,0.98,0,1,1,3,1,0
local programs claim sanitation success,17,64,5,-0.61,0,1,1,3,1,1
unknown,244,106,90,0.91,0,0,3,3,0,1
public toilets improve hygiene in kampala,117,41,8,-0.24,1,0,2,3,1,0
clean water access has improved in rural kenya,170,114,56,0.13,1,1,2,1,0,0
sanitizer causes infertility experts say,218,138,30,-0.32,1,1,1,0,1,1
more east african homes now use filtration,249,102,20,0.24,1,1,0,1,1,0
studies show water quality impacts health,59,94,89,0.26,0,0,1,0,1,1
boiled water increases blood acidity,20,16,39,-0.04,1,0,2,3,0,1
mobile apps now report safe borehole locations,165,84,44,0.2,0,0,3,3,1,0
studies show water quality impacts health,79,55,76,0.41,0,0,2,0,0,0
solar disinfection of water proves effective,178,133,48,0.44,1,1,1,2,0,0
rainwater harvesting gains popularity in uganda,281,85,86,0.26,0,0,1,0,0,0
new who guidelines promote water boiling,77,101,19,0.33,1,1,2,1,0,0
sanitizer causes infertility experts say,261,53,91,0.71,0,1,2,0,1,1
ngos distribute water purification tablets,57,114,16,0.4,1,0,0,4,1,0
east african communities adopt water filtration,193,138,27,0.95,0,0,3,3,0,0
western ngos poison wells to reduce population,196,87,40,-0.59,0,1,2,1,0,1
ngos distribute water purification tablets,99,48,65,0.94,0,1,3,2,1,0
local programs claim sanitation success,148,148,24,0.36,1,1,3,2,1,0
rainwater harvesting gains popularity in uganda,98,114,57,1.09,1,1,0,2,0,0
sanitation drives are working in rural areas,283,62,40,-0.19,0,0,1,3,0,0
proper handwashing reduces cholera outbreaks,28,103,5,0.11,1,0,3,3,0,0
east african communities adopt water filtration,163,82,74,0.13,1,0,3,2,0,0
solar disinfection of water proves effective,269,102,37,0.29,1,0,3,1,0,0
natural spring water prevents covid,117,16,5,0.62,0,0,3,0,0,1
mobile apps now report safe borehole locations,294,5,44,-0.07,1,0,1,3,1,0
western ngos poison wells to reduce population,68,146,74,1.24,0,1,0,1,1,1
tap water linked to reduced iq,134,27,13,0.93,0,1,3,1,1,1
proper handwashing reduces cholera outbreaks,282,37,65,0.24,1,0,2,3,0,0
sanitizer causes infertility experts say,116,118,39,0.42,1,0,1,2,1,1
mobile apps now report safe borehole locations,254,36,2,-0.13,0,1,0,0,0,0
soap brands contain microchips for surveillance,256,114,98,-0.2,0,0,2,3,0,1
rainwater harvesting gains popularity in uganda,17,67,96,1.18,1,0,2,1,0,0
safe sanitation is key to public health,150,42,23,0.4,1,1,2,3,0,0
solar disinfection of water proves effective,17,57,18,0.47,1,1,3,0,1,0
using soap daily can cause skin cancer,103,12,17,0.97,1,0,3,3,1,1
boiled water increases blood acidity,48,51,63,-0.1,0,0,2,1,1,1
studies show water quality impacts health,90,57,87,0.51,0,1,0,2,1,0
face masks cause water contamination when washed,196,31,34,0.01,0,1,3,3,0,1
using soap daily can cause skin cancer,93,104,61,-0.44,0,0,0,2,0,1
ngos distribute water purification tablets,97,82,0,0.45,1,1,3,1,1,0
local programs claim sanitation success,251,98,99,0.12,0,1,3,3,0,0
unicef supports safe water projects in ethiopia,102,103,24,0.68,1,1,3,2,1,0
east african communities adopt water filtration,95,27,44,0.62,0,1,0,1,0,0
chlorinated water is a government mind control tactic,53,128,48,-1.21,1,0,3,1,1,1
east african communities adopt water filtration,146,47,97,0.03,1,0,0,3,0,0
natural spring water prevents covid,83,39,88,0.2,1,0,3,1,1,1
sanitation drives are working in rural areas,45,96,15,0.77,1,1,1,0,1,0
boiled water increases blood acidity,110,113,97,0.47,1,0,3,1,1,1
western ngos poison wells to reduce population,165,131,92,-0.49,1,0,2,0,0,1
public toilets improve hygiene in kampala,264,136,18,0.08,1,1,0,1,0,0
boiled water increases blood acidity,180,110,22,-0.24,0,0,1,2,1,1
local programs claim sanitation success,225,143,82,0.1,0,0,0,3,1,0
chlorinated water is a government mind control tactic,179,75,24,-0.54,0,1,3,1,1,1
public toilets improve hygiene in kampala,261,30,15,-0.1,1,0,2,4,0,0
experts debate the safety of boiling water,64,118,53,0.32,1,0,2,1,1,1
solar disinfection of water proves effective,100,141,72,0.2,1,0,2,2,0,0
mobile apps now report safe borehole locations,287,24,0,0.91,1,1,3,3,0,0
western ngos poison wells to reduce population,110,33,41,-0.21,1,0,3,0,0,1
clean water access has improved in rural kenya,164,66,18,0.36,1,1,2,0,0,0
more east african homes now use filtration,150,117,96,1.02,0,1,3,2,0,0
rainwater harvesting gains popularity in uganda,182,72,33,0.6,0,1,3,2,0,0
solar disinfection of water proves effective,19,25,79,0.62,1,0,1,1,0,0
more east african homes now use filtration,237,147,54,0.45,1,1,3,1,1,0
studies show water quality impacts health,274,103,17,-0.07,0,1,1,1,1,0
ngos distribute water purification tablets,257,9,33,0.42,1,1,2,2,0,0
local programs claim sanitation success,256,66,88,0.29,1,0,0,1,1,0
tap water linked to reduced iq,164,4,44,-0.92,0,0,3,1,1,1
mobile apps now report safe borehole locations,43,26,5,1.24,1,1,2,2,1,0
using soap daily can cause skin cancer,138,112,20,0.06,0,1,2,0,1,1
public toilets improve hygiene in kampala,169,14,69,1.04,0,1,3,1,0,0
water kiosks now serve clean water in nairobi,98,104,95,-0.03,1,1,0,2,0,0
face masks cause water contamination when washed,102,43,47,0.28,0,1,0,1,1,1
ngos distribute water purification tablets,250,25,38,0.71,1,1,3,2,1,0
unknown,126,94,30,0.15,1,1,2,2,0,0
studies show water quality impacts health,103,83,9,-0.18,0,1,3,0,0,1
boiling water damages your organs,172,139,29,0.29,0,0,0,2,1,1
sanitizer causes infertility experts say,108,131,17,0.39,0,1,3,1,1,1
chlorinated water is a government mind control tactic,122,86,59,-0.09,0,1,2,2,0,1
boiled water increases blood acidity,100,111,87,0.69,0,1,0,2,0,1
unicef supports safe water projects in ethiopia,215,128,72,0.16,0,1,0,3,0,0
chlorinated water is a government mind control tactic,26,88,94,0.23,0,0,0,0,0,1
sanitizer causes infertility experts say,283,65,14,0.61,0,1,2,1,1,1
unicef supports safe water projects in ethiopia,182,130,3,0.24,1,1,3,1,0,0
proper handwashing reduces cholera outbreaks,125,121,62,0.51,1,1,0,0,0,0
unicef supports safe water projects in ethiopia,190,148,39,0.42,0,1,2,2,1,0
using soap daily can cause skin cancer,100,83,8,0.42,0,0,2,2,1,1
local programs claim sanitation success,91,115,8,0.7,1,0,1,3,0,1
new who guidelines promote water boiling,123,115,25,0.39,0,1,0,1,1,0
proper handwashing reduces cholera outbreaks,266,37,3,-0.2,1,1,2,0,0,0
safe sanitation is key to public health,67,142,80,0.57,0,0,3,1,0,0
sanitation drives are working in rural areas,163,109,15,0.05,1,0,2,1,0,0
mobile apps now report safe borehole locations,125,45,14,0.19,0,0,2,3,0,0
solar disinfection of water proves effective,275,24,98,1.26,0,1,1,1,1,0
government hides real dangers of hand sanitizers,212,20,51,1.02,1,0,0,3,1,1
water kiosks now serve clean water in nairobi,50,120,68,0.06,1,1,2,3,0,0
vaccines in water are used to track people,114,121,4,-0.31,0,1,3,0,1,1
local programs claim sanitation success,202,132,19,0.38,1,0,1,2,0,0
mobile apps now report safe borehole locations,287,69,78,0.27,1,0,2,3,0,0
ngos distribute water purification tablets,246,112,17,0.26,1,0,3,2,1,0
public toilets improve hygiene in kampala,230,106,1,0.57,1,0,0,1,1,0
rainwater is safer than treated tap water,77,111,92,0.09,0,0,1,2,1,1
east african communities adopt water filtration,206,107,12,-0.13,1,1,2,1,0,0
western ngos poison wells to reduce population,265,46,3,0.44,0,0,1,2,1,1
new who guidelines promote water boiling,148,90,41,0.32,1,1,3,0,1,0
soap brands contain microchips for surveillance,158,17,73,-0.09,0,0,0,1,1,1
new who guidelines promote water boiling,108,148,60,0.46,1,1,0,1,0,0
face masks cause water contamination when washed,85,103,94,0.13,0,0,0,2,1,1
government hides real dangers of hand sanitizers,291,39,7,0.84,0,0,0,2,0,1
sanitation drives are working in rural areas,118,137,66,0.5,0,0,2,2,0,0
solar disinfection of water proves effective,197,88,62,1.04,0,1,3,3,0,0
rainwater is safer than treated tap water,208,60,8,0.19,1,0,1,2,0,1
western ngos poison wells to reduce population,163,4,93,0.39,0,0,2,2,0,1
unicef supports safe water projects in ethiopia,49,121,10,0.52,0,1,1,2,1,0
face masks cause water contamination when washed,142,54,98,0.3,0,1,0,3,1,1
local programs claim sanitation success,141,36,41,0.16,0,0,3,0,0,1
chlorinated water is a government mind control tactic,288,55,12,0.41,0,0,2,2,1,1
filtered water removes essential nutrients,93,101,35,-0.24,1,0,1,3,1,1
vaccines in water are used to track people,251,92,12,0.31,0,0,1,0,0,1
water kiosks now serve clean water in nairobi,125,72,11,-0.15,1,1,2,1,0,0
sanitation drives are working in rural areas,118,58,36,0.12,1,0,1,1,0,0
clean water access has improved in rural kenya,230,1,73,0.19,1,1,1,1,0,0
filtered water removes essential nutrients,50,103,72,0.18,0,1,2,1,0,1
government hides real dangers of hand sanitizers,156,50,51,-0.13,0,1,3,3,0,1
experts debate the safety of boiling water,121,29,70,0.2,0,0,2,1,0,0
face masks cause water contamination when washed,112,10,1,0.39,0,0,2,0,1,1
western ngos poison wells to reduce population,55,107,55,0.41,0,1,3,1,0,1
rainwater harvesting gains popularity in uganda,280,75,59,0.88,1,1,1,3,0,0
experts debate the safety of boiling water,204,89,22,0.64,0,0,2,0,0,0
public toilets improve hygiene in kampala,289,122,39,0.23,0,1,1,3,1,0
local programs claim sanitation success,292,124,63,0.6,0,1,1,3,0,0
clean water access has improved in rural kenya,49,121,84,0.12,1,0,1,1,0,0
rainwater harvesting gains popularity in uganda,198,93,22,0.5,0,1,2,1,0,0
public toilets improve hygiene in kampala,173,102,28,0.4,0,1,3,1,1,0
unicef supports safe water projects in ethiopia,33,30,77,0.14,0,1,0,3,1,0
east african communities adopt water filtration,33,51,89,0.23,0,0,3,4,0,0
